mean_fit_time,mean_score_time,mean_test_AU_PRC,mean_test_AU_ROC,mean_test_AVG_PREC,mean_train_AU_PRC,mean_train_AU_ROC,mean_train_AVG_PREC,param_activation,param_loss,params,rank_test_AU_PRC,rank_test_AU_ROC,rank_test_AVG_PREC,split0_test_AU_PRC,split0_test_AU_ROC,split0_test_AVG_PREC,split0_train_AU_PRC,split0_train_AU_ROC,split0_train_AVG_PREC,split1_test_AU_PRC,split1_test_AU_ROC,split1_test_AVG_PREC,split1_train_AU_PRC,split1_train_AU_ROC,split1_train_AVG_PREC,split2_test_AU_PRC,split2_test_AU_ROC,split2_test_AVG_PREC,split2_train_AU_PRC,split2_train_AU_ROC,split2_train_AVG_PREC,split3_test_AU_PRC,split3_test_AU_ROC,split3_test_AVG_PREC,split3_train_AU_PRC,split3_train_AU_ROC,split3_train_AVG_PREC,split4_test_AU_PRC,split4_test_AU_ROC,split4_test_AVG_PREC,split4_train_AU_PRC,split4_train_AU_ROC,split4_train_AVG_PREC,std_fit_time,std_score_time,std_test_AU_PRC,std_test_AU_ROC,std_test_AVG_PREC,std_train_AU_PRC,std_train_AU_ROC,std_train_AVG_PREC
226.63525710105895,7.81177921295166,0.0017493528771331383,0.4394609499744675,0.002350261799955695,0.002720818761729587,0.4187771816076724,0.0021416422631306588,softmax,binary_crossentropy,"{'loss': 'binary_crossentropy', 'activation': 'softmax'}",8,8,8,0.00019625651966679678,0.2515000809802346,0.0003406345975991858,0.00019590269039811094,0.25222117561867874,0.0003282248413533664,0.0017137534755931588,0.676748191422152,0.003133272585138375,0.0014884067671413954,0.6494965365504993,0.0025420986921994605,0.006440290084971664,0.7737214034746178,0.00763391827778836,0.011532427107267857,0.7220517110039052,0.007171748923120501,0.0001998049507924568,0.24665700593785236,0.00031644354180034826,0.0001913683334750789,0.21599149633837714,0.00033422782072466345,0.00019667536157119204,0.248678774378122,0.00032705648559712273,0.0001959889103654933,0.25412498852690163,0.00033191103825530284,10.122017504331358,0.04178554356223379,0.0024178547919853684,0.23534467219685207,0.0028565163807689363,0.0044342162187734745,0.21962702151292376,0.0026567911164022185
218.27509632110596,7.841985988616943,0.00019465034601817623,0.23540144534319474,0.00033081912642970486,0.00019462411999070675,0.23580203397202312,0.00032927359745138306,softmax,mean_absolute_error,"{'loss': 'mean_absolute_error', 'activation': 'softmax'}",9,9,9,0.00019380048642059932,0.22324757073453602,0.0003404171551034841,0.00019401889597925854,0.22550600676655735,0.0003249293655422181,0.0001868499327862708,0.23171870007652884,0.0003476881747032548,0.00019759931833052732,0.25479529294998715,0.0003277245443902063,0.00019513004889724697,0.22776165981342117,0.0003226808995759129,0.00019433490059284861,0.22819951240952233,0.0003286230198348439,0.00020391114237451849,0.27337163455540336,0.00031685802191127325,0.00019283354661904376,0.24228637381283888,0.0003364783898871569,0.00019356016801390456,0.22090780414318784,0.00032645119710863986,0.00019433393843185548,0.22822298392120977,0.0003286126676024901,3.033050871663194,0.031234486155229727,5.454347305781071e-06,0.019346536440166533,1.1462192693624667e-05,1.5869535255833976e-06,0.011171741670589385,3.848143183662253e-06
139.1878378391266,7.662965726852417,0.003005343053125703,0.9085232767490434,0.004189250029008392,0.0030589107267228006,0.9089448357597503,0.004164705773497741,softmax,<function hingesig at 0x7f7397f42bf8>,"{'loss': <function hingesig at 0x7f7397f42bf8>, 'activation': 'softmax'}",7,7,6,0.002805228971784246,0.896258621138786,0.004083900853658501,0.0031529180380226044,0.9135012133771637,0.004402044193064843,0.003404581120089258,0.9408117913985208,0.005235461488138161,0.0028910627278531556,0.902077506383421,0.004160848967074771,0.003548083671402198,0.9215355792338407,0.004470964873642096,0.002863842381189344,0.903438753057388,0.0035532537029323544,0.00265584158299134,0.88857528728429,0.003925658331623741,0.003195536317649896,0.9142038501237127,0.004455928703151549,0.0026129799244058506,0.895435065157876,0.0032302603411734727,0.0031911941688990047,0.9115028558570655,0.004251453301265184,0.47838439369052776,0.02083708837874135,0.00039245459018566757,0.019654589681376528,0.0006594180718543247,0.00014914921783347422,0.005146618994628356,0.0003232812902990219
242.64856176376344,12.955614137649537,0.00018657250409649258,0.09209338042584614,0.00029388773143753153,0.00018653708348793628,0.09407517554918854,0.0002916695151837153,softplus,binary_crossentropy,"{'loss': 'binary_crossentropy', 'activation': 'softplus'}",12,12,15,0.0001877219230881966,0.08677747084569981,0.0003050671802318729,0.00018625082442936337,0.09672083307348953,0.00028923888376395057,0.00018446571473292544,0.06952286737698768,0.0002993194160590306,0.0001874728813228039,0.10286203260197127,0.00028718856533521545,0.0001855339362819846,0.08610158653315364,0.0002923265483066949,0.00018703046054720454,0.09788140994130734,0.00028870335908217623,0.00018794604365657803,0.11666805210332976,0.0002907355750676426,0.000185819063314785,0.08445560242853693,0.00029747078773085075,0.00018719490174432118,0.10139709443064512,0.000281989795933834,0.00018611218782552455,0.08845599970063762,0.00029574598000638305,4.085121453382073,2.523477034228008,1.349988631199152e-06,0.01590007012333324,7.853890831784838e-06,6.159824757180491e-07,0.006675434144535872,4.12449490916914e-06
296.2156775951386,11.682124710083007,0.00018571264457837555,0.08689908619333907,0.00030607860241086906,0.00018552047790940004,0.08691862294374379,0.000305053318047687,softplus,mean_absolute_error,"{'loss': 'mean_absolute_error', 'activation': 'softplus'}",15,15,13,0.00018673955174020303,0.08248176670557116,0.00032114495992734084,0.00018522543572857677,0.08813763766301179,0.0003012367456762825,0.00018337012525280826,0.0643600244840585,0.00031971415598684217,0.00018614318961029195,0.09255151193052873,0.0003016964238239961,0.00018510277186990895,0.08191422984150173,0.0002995787976693151,0.0001856218402391461,0.08810046665388921,0.0003065683020327885,0.00018699713340187958,0.11029942229444677,0.00029746582086779405,0.0001852575959633635,0.0810250465171831,0.00030727090952866777,0.00018635364209798383,0.09544014748511662,0.0002924890546107076,0.00018535432800562178,0.08477845195410617,0.00030849420917670024,5.029240103331712,0.008690636516001929,1.3397522499427284e-06,0.015315975099878018,1.1950128072164994e-05,3.411178039509779e-07,0.003845172681143036,2.996250447094566e-06
240.03965034484864,12.10216302871704,0.00018986018928803357,0.14098980496250285,0.0003103397204519206,0.00018916203517247294,0.1422781585961108,0.00031307282108944585,softplus,<function hingesig at 0x7f7397f42bf8>,"{'loss': <function hingesig at 0x7f7397f42bf8>, 'activation': 'softplus'}",10,10,11,0.00019187838425563508,0.1331257719313446,0.00030561986637027,0.0001904704967429463,0.14382395734583334,0.0002969056538574246,0.00018787319286802274,0.11934542830125446,0.0003082996583742568,0.00019177680067588982,0.14618596055328012,0.0002935120055234678,0.0001902744723286643,0.14983210374034878,0.0003093634497898917,0.00018996339066882107,0.15593338579327967,0.000317030328286741,0.000192604003418321,0.1679472982764737,0.0003032904479589506,0.0001886030446035138,0.13913558043774232,0.0003174546927801508,0.00018667088312819172,0.13469861296972585,0.00032512523825383143,0.00018499644317119358,0.12631190885041857,0.00034046142499944484,0.7339930351260444,0.879408372061661,2.2756567565078974e-06,0.016581873603942393,7.690189905030997e-06,2.3175792598355615e-06,0.009684240477607652,1.6905626807566796e-05
131.84663705825807,7.566254758834839,0.009850160563277336,0.946478025926413,0.010291587077661495,0.011168073088709003,0.9485159932124796,0.01131665852412115,tanh,binary_crossentropy,"{'loss': 'binary_crossentropy', 'activation': 'tanh'}",4,2,4,0.0085795145041703,0.9356233326141383,0.00903435677208984,0.012178024929177515,0.9523263753514621,0.012375263242107895,0.012625665554107992,0.9767168146719435,0.0130843035959669,0.010084103396886434,0.941776283795527,0.010207650761625033,0.013779699614550497,0.9545110176671171,0.014401658340618422,0.010385439339026735,0.9467622167318258,0.010501174181445036,0.008145538461723566,0.9302047876384019,0.00856583316414208,0.011833930473184689,0.9506941308389687,0.011987043372393591,0.0061203834885571054,0.935334133584521,0.0063717820978207735,0.011358867305269645,0.9510209593446145,0.011512161063034196,2.279387043628883,0.01509733652114692,0.0028836140053216807,0.017238002241395187,0.0029871590679426898,0.0008108362459252999,0.003848053166399893,0.0008370416915405165
130.31536927223206,7.565817737579346,0.0035308466394203216,0.9224627981904924,0.003667416303090778,0.0034739978819297045,0.9224695346935347,0.0035207540910022588,tanh,mean_absolute_error,"{'loss': 'mean_absolute_error', 'activation': 'tanh'}",6,5,7,0.0036717142516252328,0.9089346823621085,0.003848219810976472,0.0035513527661560633,0.9263926267764905,0.0035863212349334737,0.003974846333224594,0.951001841472828,0.004099171283910445,0.00329466803490693,0.9151235771076466,0.003355140434566351,0.004047433805026105,0.9307379295086955,0.004248698303659755,0.0036062656979775026,0.9213029116611433,0.003650174047539687,0.003074680090553673,0.9103781840098213,0.0031630196857156344,0.003464420304856039,0.9248954590046353,0.0035179539432520068,0.0028855550191683814,0.91126134604432,0.0029779683891387847,0.003453282605751988,0.9246330989177577,0.0034941807947197747,0.7563551130178817,0.020343228547720422,0.0004708139177910049,0.016355286996277436,0.0005072953299953836,0.00010597980935882112,0.004031894655376062,9.918713587381904e-05
131.08605980873108,7.5947325229644775,0.032903850310847006,0.935604288991499,0.036122210648733735,0.04037360266505176,0.9420613689510798,0.042480696756487905,tanh,<function hingesig at 0x7f7397f42bf8>,"{'loss': <function hingesig at 0x7f7397f42bf8>, 'activation': 'tanh'}",2,4,2,0.03957931104567431,0.9381248007348248,0.04354523833117621,0.0494767180708855,0.9476815119365893,0.051823598003668064,0.03507485183838312,0.9573150216389029,0.03668427545794668,0.031018146982151627,0.9280513467914682,0.033089579913112156,0.04495608332649335,0.9513657534126607,0.051508446639858534,0.054280141188621366,0.9414136225345467,0.055296834539474385,0.036294325822918874,0.9263271083438749,0.03808454530969118,0.03496076942257541,0.9444806494375042,0.03706943108912495,0.008614600439044138,0.9048886245313024,0.010788469003082064,0.03213223766102487,0.9486797140552912,0.035124040237060006,0.4747363439422871,0.02520652269646774,0.012617387785608346,0.018738451780258628,0.01369525782303737,0.009602103266208063,0.00745575902911226,0.009199331043294528
75.8632586479187,2.6937901973724365,0.00018637183523985358,0.09039470875378898,0.00029524343754846875,0.0001863780256804865,0.09191669470689268,0.0002930299721902878,relu,binary_crossentropy,"{'loss': 'binary_crossentropy', 'activation': 'relu'}",13,13,14,0.0001874040746621364,0.08402764682197883,0.00030881194134136817,0.00018567299618004994,0.09232278614188236,0.00029563770643539484,0.00018555528618996046,0.07393291233023017,0.00028059071180354205,0.00018914471431754566,0.10817339433698764,0.00026176008036572345,0.00018499792742329653,0.0823122736910746,0.00029982843146705623,0.00018611957524284712,0.09120309201623908,0.00029882146996114883,0.0001874787274165795,0.11373275687682663,0.0002941259617334547,0.00018532950420726863,0.08176263765426878,0.0003053438723286788,0.00018642315414929168,0.09796810279739043,0.0002928600777914984,0.0001856233384547212,0.08612156338508553,0.00030358673186049316,3.0102856798239213,0.024522202817260218,9.846559420199973e-07,0.01399196601353871,9.238610906090443e-06,1.4062275298234185e-06,0.008962620638872773,1.6007655483522184e-05
