loss,train_history,test_history,negative_perc,np_ratio,positive_sample_perc
0.13890016673662264,0.034887875535137725,0.6808654749597459,1.0,3.0,0.5
0.11803217139120412,0.047907615500345835,0.5342315227360368,1.0,3.0,0.5
0.1104012784912407,0.054429110940391934,0.29411769540164706,1.0,3.0,0.5
0.10594634063616225,0.046266854650189274,0.2596570594575838,1.0,3.0,0.5
0.10185847172840577,0.06809375339130841,0.3071925190189699,1.0,3.0,0.5
0.09818654422830099,0.06692040213454495,0.28613843707348147,1.0,3.0,0.5
0.09528101686329832,0.06465139379103911,0.26101040361917605,1.0,3.0,0.5
0.09228420290036178,0.05814299111304873,0.1555258584433885,1.0,3.0,0.5
0.09005350243279116,0.059655837198649905,0.17914788198689738,1.0,3.0,0.5
0.08808416509083623,0.033189358669114724,0.1576384872166946,1.0,3.0,0.5
0.08596868579388955,0.09645482472122432,0.11880416799163013,1.0,3.0,0.5
0.08375129760981267,0.07684470651782252,0.22141329122023726,1.0,3.0,0.5
0.08289128513410635,0.06707100160298939,0.04653551197430408,1.0,3.0,0.5
0.08111485377109857,0.10320057392260115,0.12711888551832645,1.0,3.0,0.5
0.07947498619173884,0.07638761049036759,0.0722686494219818,1.0,3.0,0.5
0.07832014543085011,0.15106227156723495,0.033996678167704214,1.0,3.0,0.5
0.07689208498994787,0.036592691196530414,0.06664765923436314,1.0,3.0,0.5
0.07663205578060774,0.06900447289251792,0.07204860935481053,1.0,3.0,0.5
0.07476598051944973,0.14667207769800336,0.08829752685935607,1.0,3.0,0.5
0.07364312937666882,0.12274175037621035,0.033646004588690215,1.0,3.0,0.5
0.07336194512072158,0.0981399033005444,0.18835912579736683,1.0,3.0,0.5
0.07173345054510777,0.08769022090271172,0.24412914126684848,1.0,3.0,0.5
0.07043862202440547,0.060368629259807814,0.05693134641710949,1.0,3.0,0.5
0.06984060408339249,0.09659189457913764,0.016723755006442038,1.0,3.0,0.5
0.06850400873715251,0.11889994458557401,0.07900878736325496,1.0,3.0,0.5
0.06763957983821109,0.0874389408871869,0.0289538023825509,1.0,3.0,0.5
0.0665092231077837,0.11233466577418406,0.04644913494608184,1.0,3.0,0.5
0.0655339560783877,0.173432263191894,0.0361074037773354,1.0,3.0,0.5
0.06467752875676676,0.16521651402250304,0.02288666250067138,1.0,3.0,0.5
0.06576490648843372,0.19517510933289747,0.02139675043407519,1.0,3.0,0.5
0.06578480187517363,0.15977623088976328,0.11776004332768139,1.0,3.0,0.5
0.06492642512705353,0.16450612601047943,0.022301488165922055,1.0,3.0,0.5
