mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__architecture,params,split0_test_AVG_PREC,split1_test_AVG_PREC,split2_test_AVG_PREC,split3_test_AVG_PREC,split4_test_AVG_PREC,mean_test_AVG_PREC,std_test_AVG_PREC,rank_test_AVG_PREC,split0_train_AVG_PREC,split1_train_AVG_PREC,split2_train_AVG_PREC,split3_train_AVG_PREC,split4_train_AVG_PREC,mean_train_AVG_PREC,std_train_AVG_PREC,split0_test_AU_PRC,split1_test_AU_PRC,split2_test_AU_PRC,split3_test_AU_PRC,split4_test_AU_PRC,mean_test_AU_PRC,std_test_AU_PRC,rank_test_AU_PRC,split0_train_AU_PRC,split1_train_AU_PRC,split2_train_AU_PRC,split3_train_AU_PRC,split4_train_AU_PRC,mean_train_AU_PRC,std_train_AU_PRC,split0_test_AU_ROC,split1_test_AU_ROC,split2_test_AU_ROC,split3_test_AU_ROC,split4_test_AU_ROC,mean_test_AU_ROC,std_test_AU_ROC,rank_test_AU_ROC,split0_train_AU_ROC,split1_train_AU_ROC,split2_train_AU_ROC,split3_train_AU_ROC,split4_train_AU_ROC,mean_train_AU_ROC,std_train_AU_ROC
104.56606049537659,0.7828941302061645,0.5410784721374512,0.0765317306517016,"(2,)","{'model__architecture': (2,)}",0.0030094359487784095,0.0024712891938552363,0.0024602377074742715,0.002377506704736378,0.0022593933845983273,0.0025155735492242326,0.00025830812411752415,28,0.003080812345439586,0.0025338063105112955,0.0024778730285694413,0.0024461419620633424,0.002407541941914883,0.00258923511769971,0.00024924289346376955,0.0015196518031051012,0.0012473382525514645,0.5012301188537371,0.001215689341733899,0.0011677225760326228,0.10127579894296077,0.19997681539699558,28,0.0015563424498427315,0.5012669031552557,0.5012389365142847,0.0012230709810316712,0.0012037709709574415,0.20129780481427445,0.24491235809186898,0.9301711118019915,0.9263090712546544,0.9266383291030855,0.9234165069107447,0.9189219493797336,0.9250914052829223,0.0037562382131855012,23,0.9414166139127634,0.9285229191220973,0.9269054542025876,0.925954287956821,0.9247642152528077,0.9295126980894153,0.00607767993464957
109.53657102584839,0.6680898319117468,0.581431245803833,0.07127488047943788,"(5,)","{'model__architecture': (5,)}",0.6790163975216315,0.7471048206750752,0.722534440034877,0.6429783454911135,0.6167506360523691,0.6816769892017699,0.04831193172228822,17,0.7070320716587836,0.7148768425345725,0.7118071151345472,0.725649928403567,0.7172005210664054,0.7153132957595751,0.00618821558086088,0.6784896587411413,0.7466143140380813,0.7210784157274166,0.6441500945907169,0.6146534492106372,0.6809972482129878,0.04832718907830867,16,0.7068193932982709,0.7144380598496639,0.7116285176713261,0.7278569380110346,0.7169518367164947,0.715538949109358,0.007018022324110236,0.9400138912248571,0.96149079977836,0.9470125750271381,0.9636349795048693,0.9779578462590266,0.9580219851941153,0.013315225515479982,8,0.9525218212726171,0.9687208266900487,0.9570376935935874,0.9591915669228013,0.9693136652795227,0.9613571147517153,0.006617255582410249
122.8084376335144,0.5440635519275014,0.6718868255615235,0.06520126629307253,"(10,)","{'model__architecture': (10,)}",0.71517618921441,0.7394875192884514,0.7629873112832769,0.6673266876958895,0.6874510123265737,0.7144857708447329,0.034446497275667544,9,0.7730030439599755,0.7875183669537292,0.7721480602154187,0.808153524947323,0.7953360448386743,0.7872318081830241,0.013663500167458863,0.7143302875906096,0.7389374655881761,0.7622537205103546,0.6662089058443126,0.6867609752201888,0.7136982979565892,0.03457134869872092,9,0.772774025776109,0.7873913728517438,0.7720327715450656,0.808055423004502,0.7952113360598221,0.7870929858474485,0.0136913336742394,0.9635535500205848,0.9544184329039674,0.9457666152260494,0.9600637473147295,0.9743239822819161,0.9596252682494378,0.009495769277720813,4,0.9687224881477571,0.9767981643019089,0.9678766141526242,0.9764318527459054,0.9778581002712816,0.9735374439238955,0.004310609328394518
125.27902517318725,0.4713581699381493,0.7377575397491455,0.043982610155029474,"(20,)","{'model__architecture': (20,)}",0.7446824638855672,0.7579857030496769,0.7563961372890101,0.692989791064333,0.7074496950309676,0.7319008106917775,0.026667328550502304,5,0.8423685755307702,0.8397696375972806,0.8442263376371741,0.8510431937760355,0.833947292916371,0.8422710074915264,0.00559151434563811,0.7441211985360145,0.7576160753606459,0.75544495194983,0.6923921331029069,0.7066115046115994,0.7312372258481195,0.026695378543490095,5,0.8422945450195856,0.8396999913603875,0.8441588488958083,0.8509761250968076,0.8338631152714215,0.8421985251288021,0.005596786198733541,0.9662521243154197,0.9598165834774814,0.9423928974907516,0.9556958172590377,0.9660955652674905,0.9580506160756511,0.008784228326062342,7,0.9774082160596491,0.9832765757926815,0.9831261603588879,0.9744426533073082,0.9751487076742142,0.9786804626385482,0.0038194087699483896
128.5156391143799,0.4665468973814526,0.7586255550384522,0.033092762337756425,"(40,)","{'model__architecture': (40,)}",0.7314749354253023,0.7603473864900432,0.7292918069362535,0.6900115854997466,0.7552561936215805,0.73327640550777,0.024927536326982646,4,0.8808979809564644,0.871747441442607,0.8866098742771034,0.8922405781975227,0.8838174163671102,0.8830626582481615,0.006783901165330692,0.731001348252839,0.7600685439343472,0.7253845009983352,0.689459062463821,0.7545334476167718,0.7320894069456765,0.025099989424200025,4,0.8808648040971528,0.8717035655613703,0.8865664480007966,0.8922000758975546,0.8837845554166691,0.8830238897947087,0.006784425016511186,0.9723063878681415,0.9692512154991241,0.9518371966916634,0.9572726667128957,0.9693287293765549,0.9639992615106429,0.007976933823368787,2,0.9852435368430119,0.9873456022434324,0.9906636607931109,0.991280460824907,0.9868952872378774,0.988285709588468,0.0023106309980705504
165.3796175003052,0.2732044482061632,0.8191809177398681,0.06004086372638962,"(80,)","{'model__architecture': (80,)}",0.73345024084856,0.7946937110925608,0.763690767152964,0.716730719711426,0.7607273926740603,0.7538585663147588,0.026856434815852044,1,0.9091066145166736,0.9075971731608582,0.8975612408816543,0.919903220993473,0.9134212135100311,0.9095178926125381,0.0073472551760028395,0.7330237436330629,0.7944601447387504,0.7633532319473549,0.7162126493653455,0.7602906108331364,0.7534680762088947,0.026946436687051992,1,0.9090884357774992,0.9075751793645837,0.897541284206586,0.919874381395266,0.9133888341388967,0.9094936229765663,0.007343511693700339,0.9558013206573783,0.9534125966561472,0.9358188928480314,0.9481843816638247,0.9790641138452788,0.9544562628118115,0.014107655981111657,11,0.9895865499754812,0.9910579104404211,0.9879761145849694,0.9930304810886453,0.9904526206076922,0.9904207353394419,0.0016667223829881642
152.38316588401796,0.5163346991878985,0.9038733005523681,0.07362419515166778,"(100,)","{'model__architecture': (100,)}",0.7298839967059892,0.7253104812139121,0.7563315118318192,0.6852819337323051,0.7806670655618793,0.735494975996688,0.03203504549998065,3,0.9331639742173998,0.9110098621370291,0.9340680343198212,0.933809395018368,0.9283554428406444,0.9280813417066526,0.008786293673141774,0.7294387394373801,0.724986934688772,0.755090354519425,0.6848196054201886,0.7802610226733998,0.7349193100580063,0.03194181050398205,3,0.933133979201698,0.910970740099916,0.9340394557226093,0.9337849553435202,0.9283228050164885,0.9280503870768465,0.008790741467374227,0.9582907196084861,0.9497585799188655,0.9526879122302186,0.9530784905143532,0.9809216039537634,0.9589474505435956,0.011325679164735517,6,0.9918171719451228,0.99106053031154,0.9961103860276818,0.9963579367083758,0.9925770248951371,0.9935846099775715,0.0022172473415687653
256.40925989151003,0.9287585958971131,1.1634435176849365,0.032972043042610664,"(100, 80)","{'model__architecture': (100, 80)}",0.7342775009200215,0.738678541720311,0.7241365753117655,0.628614085142704,0.7125982322113802,0.7076610729096291,0.0405333162140284,13,0.9931653025840825,0.9922760886785582,0.9942632086697478,0.9938597440404975,0.9948741933464226,0.9936877074638618,0.0008982339811688251,0.7338874061430601,0.7385006867064089,0.7229320669639397,0.6282400385377567,0.7122242611539142,0.7071569783141606,0.04049529654180059,13,0.9931605988705862,0.9922677872106339,0.9942555133741829,0.9938532470181097,0.9948682947688062,0.9936810882484638,0.0008985979306654913,0.9518875119417531,0.973479647141848,0.966421322344021,0.9457748704186015,0.9498121620665144,0.9574751077034991,0.010611479216830618,9,0.9999816636255593,0.9999947557869925,0.9999971431817203,0.9999951715747386,0.9999966737514865,0.9999930815840994,5.778252940009169e-06
214.78104968070983,0.732946597256486,1.1550264358520508,0.04851671869783496,"(100, 40)","{'model__architecture': (100, 40)}",0.7440698695490133,0.770939904558035,0.6540953714879938,0.6887533982928374,0.6893577439673574,0.7094433908005865,0.04213248349721369,12,0.9896223794836576,0.9789547099743353,0.987932641112064,0.9814024802352824,0.9850333173398893,0.9845891056290457,0.003965132912268371,0.7435407306026628,0.7706199805082851,0.6504079704776615,0.6882745312821344,0.6890424838197425,0.7083772744223082,0.043009351970775794,12,0.9896135701493228,0.9789365848394072,0.987924777717271,0.9813868062535896,0.9850231482027357,0.9845769774324653,0.003969013027266239,0.9435030492172949,0.9651694383992415,0.9490251909713174,0.9517723036997763,0.9594327634666238,0.9537805398109052,0.0076671852684532665,13,0.9999901476197035,0.9999642383121503,0.9999818084607512,0.9999800872165608,0.9999675467231736,0.9999767656664679,9.5651729024273e-06
184.34929881095886,0.6021759375675103,1.121077537536621,0.026024021369451724,"(100, 10)","{'model__architecture': (100, 10)}",0.7318808596591195,0.7863526369195354,0.7843189087643275,0.6234318295337405,0.7040002144292048,0.7259969633526963,0.06013701715078786,6,0.9631978129956401,0.9375042990228697,0.9640367638024965,0.946090181266118,0.9605055126100259,0.9542669139394301,0.010601653208094804,0.7312512845723772,0.7861007479434141,0.7838320637758343,0.62297657949071,0.7033342361391772,0.725499055858168,0.060183875101946185,6,0.9631761134363198,0.9374578866938251,0.9640129984747066,0.9460640272005499,0.9604806049249748,0.9542383261460753,0.010609397877285176,0.9645805620254799,0.9915026505852507,0.9694640427501249,0.9500848705578631,0.9698741104671104,0.9691012608905712,0.013301210829769757,1,0.9997373461294637,0.9995627542401061,0.9998189027573483,0.9998315505490746,0.9997136833235267,0.9997328473999039,9.640230246434581e-05
