,param_np_ratio,param_negative_perc,param_positive_sample_perc,std_test_AU_PRC,run1,run2,run3
0,0.5,0.25,0.25,0.1604261215445851,0.3603043321819718,0.3603043321819718,0.3603043321819718
1,0.5,0.25,0.5,0.22483280040465112,0.4621353049118614,0.4621353049118614,0.4621353049118614
2,0.5,0.25,0.75,0.08042308160644482,0.5191870258065879,0.5191870258065879,0.5191870258065879
3,0.5,0.25,1.0,0.07699595362508144,0.6295352368584409,0.6295352368584409,0.6295352368584409
4,0.5,0.25,1.25,0.18653904057924725,0.4081399488385878,0.4081399488385878,0.4081399488385878
5,0.5,0.25,1.5,0.1512472644584694,0.4363346220225351,0.4363346220225351,0.4363346220225351
6,1.0,0.25,0.25,0.1782947548824189,0.3491021725715694,0.3491021725715694,0.3491021725715694
7,1.0,0.25,0.5,0.16044577907170385,0.5493294112858159,0.5493294112858159,0.5493294112858159
8,1.0,0.25,0.75,0.18982598101681697,0.3024864351292952,0.3024864351292952,0.3024864351292952
9,1.0,0.25,1.0,0.17367363682598289,0.4411703220965662,0.4411703220965662,0.4411703220965662
10,1.0,0.25,1.25,0.19141588370453644,0.393871712208738,0.393871712208738,0.393871712208738
11,1.0,0.25,1.5,0.13555643318859606,0.25399471608977964,0.25399471608977964,0.25399471608977964
12,1.5,0.25,0.25,0.20698044060079984,0.4500305879042488,0.3607006228183524,0.4500305879042488
13,1.5,0.25,0.5,0.21578471907603566,0.3826582177131811,0.5159711072726546,0.3826582177131811
14,1.5,0.25,0.75,0.15094340601958775,0.4609328549051431,0.515628173902298,0.4609328549051431
15,1.5,0.25,1.0,0.0742759266921046,0.4090195130183891,0.3985878510762249,0.4090195130183891
16,1.5,0.25,1.25,0.1502883584304001,0.386654526685969,0.319558902191174,0.1766791222695797
17,1.5,0.25,1.5,0.11853602216919132,0.1964358978050606,0.2449436081057069,0.3164130855236795
18,3.0,0.25,0.25,0.10744140135637208,0.2311754732517101,0.32526957682409746,0.3757170932367767
19,3.0,0.25,0.5,0.11877607303743992,0.3551675042567008,0.3551675042567008,0.3757277965389135
20,3.0,0.25,0.75,0.15868051572035674,0.32406111201162496,0.3548100361447762,0.4665956608681283
21,3.0,0.25,1.0,0.10265644754989517,0.5988890855514346,0.4542902916685514,0.4550152522729485
22,3.0,0.25,1.25,0.08262549126777062,0.4942635443737745,0.5556652664341564,0.5087171127134821
23,3.0,0.25,1.5,0.15141621402606964,0.2847097827290003,0.3489136339461273,0.3202303939225527
24,5.0,0.25,0.25,0.1403555720323185,0.24155481432645,0.4102778034898488,0.3063128426240881
25,5.0,0.25,0.5,0.07719325098763187,0.3204531716108825,0.4068555370443637,0.34500888394601364
26,5.0,0.25,0.75,0.03332692561779952,0.40226867892811097,0.3799098691339539,0.3854995273220181
27,5.0,0.25,1.0,0.1399196414167296,0.35540908370877705,0.4728883631156434,0.3814908043957051
28,5.0,0.25,1.25,0.03251069520262325,0.2006691667681548,0.3362604511469696,0.18968695906579705
29,5.0,0.25,1.5,0.09012157037433967,0.4221648821111443,0.40481696748165896,0.4620751297540661
30,0.5,0.5,0.25,0.2064995009320712,0.17377464935339434,0.2640022858080687,0.1203806508301902
31,0.5,0.5,0.5,0.2776874593719134,0.4882873240125156,0.567576070453067,0.3761837755907621
32,0.5,0.5,0.75,0.16023394492259546,0.5318510602175479,0.5782381038184433,0.5405179560535511
33,0.5,0.5,1.0,0.09024616357029897,0.6223107537345391,0.5156808590172769,0.5050810244772136
34,0.5,0.5,1.25,0.195999407565436,0.4177420681300815,0.5506274292044598,0.5855433156119219
35,0.5,0.5,1.5,0.08746350167140943,0.5405608229632056,0.6318494463534673,0.5942353152803418
36,1.0,0.5,0.25,0.14594782197259812,0.4300886014616589,0.21226435840523344,0.2645321514807342
37,1.0,0.5,0.5,0.24490522792568495,0.3400354150969647,0.3304731256285475,0.3594404562162349
38,1.0,0.5,0.75,0.21551092394544244,0.2281872501524353,0.2495171973514498,0.4312164215091977
39,1.0,0.5,1.0,0.1750780032246563,0.4481568777331291,0.5812980053885156,0.3450012543164626
40,1.0,0.5,1.25,0.14217839167600316,0.3895742250233801,0.32545189653104395,0.3761776440004819
41,1.0,0.5,1.5,0.12671728790045794,0.161772373058107,0.3920439654281364,0.4067892884318095
42,1.5,0.5,0.25,0.07242377762350062,0.5443632002113734,0.4172691153743139,0.4546184842515143
43,1.5,0.5,0.5,0.19479485431213128,0.469292217828715,0.3433662380409691,0.2259007394979681
44,1.5,0.5,0.75,0.05471042948992345,0.5062426648779536,0.5221342985496975,0.4637214340857837
45,1.5,0.5,1.0,0.16764233509720355,0.354527106229688,0.3664573931837765,0.43446984057694377
46,1.5,0.5,1.25,0.17000280097987205,0.4274783926642105,0.5662531227107798,0.28044530438530835
47,1.5,0.5,1.5,0.11216651250932662,0.4041143466400263,0.3794738411491077,0.5847720694464846
48,3.0,0.5,0.25,0.18797464740584885,0.4273792112297306,0.41364447468789295,0.4783249568164422
49,3.0,0.5,0.5,0.15843296971447232,0.4703874136772643,0.3710112350854335,0.4405034736351502
50,3.0,0.5,0.75,0.03664800000136464,0.4383264135936565,0.4147982441820034,0.4042924383291842
51,3.0,0.5,1.0,0.1191146726198048,0.2683477061677573,0.3356954660197359,0.31191421049861
52,3.0,0.5,1.25,0.061579397993490485,0.3848895149196274,0.323324625895606,0.3827812641191667
