,param_np_ratio,param_negative_perc,param_positive_sample_perc,std_test_AU_PRC,run1,run2,run3
75,1.5,1.0,1.0,0.0759123478296438,0.13524039217691014,0.22850569926099926,0.2309257711275826
76,1.5,1.0,1.25,0.19669458120528127,0.38483848344502175,0.3473987985031352,0.17023383950601187
77,1.5,1.0,1.5,0.0664580426048425,0.5093965000274996,0.3764450581117837,0.36585821819513387
78,3.0,1.0,0.25,0.11549912509415075,0.40578588121356096,0.3997716676438637,0.20334426112711887
79,3.0,1.0,0.5,0.2165780229086781,0.4072561714072119,0.3510643520796675,0.4610779041877486
80,3.0,1.0,0.75,0.05552608199848055,0.5262989148378474,0.4768040937525579,0.38037844611633204
81,3.0,1.0,1.0,0.08349399382086144,0.3955433378813887,0.4882007028500987,0.4213439481104648
82,3.0,1.0,1.25,0.059975674094637776,0.417821907482652,0.4267661102047194,0.4461288263360148
83,3.0,1.0,1.5,0.10643925165671687,0.3667606049255118,0.5302439524645839,0.4565160298621084
84,5.0,1.0,0.25,0.1739188171030138,0.3392139669884369,0.26834229926214714,0.21772833674810246
85,5.0,1.0,0.5,0.11728742575636955,0.33283357130076,0.3439876736799809,0.247892873848026
86,5.0,1.0,0.75,0.09237073923783357,0.4687749616931346,0.4774002141786874,0.4694664276267935
87,5.0,1.0,1.0,0.07307559995395803,0.3214770934802077,0.39336390184197983,0.34352441182199617
88,5.0,1.0,1.25,0.009838986765949959,0.5227046626788996,0.3357149260120987,0.3057830212027023
89,5.0,1.0,1.5,0.09467026956226864,0.2759035238980801,0.39064993543064863,0.3911173798278422
