param_np_ratio,param_negative_perc,param_positive_sample_perc,std_test_AU_PRC,run1,run2,run3
5.0,0.25,0.25,0.14,0.242,0.41,0.306
1.0,0.5,0.25,0.146,0.43,0.212,0.265
1.0,0.5,1.5,0.127,0.162,0.392,0.407
3.0,0.5,1.5,0.071,0.324,0.525,0.419
0.5,1.0,1.0,0.073,0.534,0.338,0.222
0.5,1.0,1.5,0.187,0.263,0.439,0.367
1.0,1.0,0.5,0.051,0.078,0.391,0.186
1.5,1.0,0.25,0.176,0.409,0.224,0.289
1.5,1.0,0.5,0.078,0.463,0.259,0.391
3.0,1.0,1.5,0.106,0.367,0.53,0.457
5.0,1.0,1.25,0.01,0.523,0.336,0.306
