negative_perc,np_ratio,positive_sample_perc,mean_test_AU_PRC,mean_train_AU_PRC,mean_test_AU_ROC,mean_train_AU_ROC,mean_test_AVG_PREC,mean_train_AVG_PREC,std_test_AU_PRC,std_train_AU_PRC,std_test_AU_ROC,std_train_AU_ROC,std_test_AVG_PREC,std_train_AVG_PREC
0.25,0.5,0.25,0.3053450179727225,0.02072133380461789,0.9821600010538518,0.9821863969710044,0.3233573186483696,0.02070474721064653,0.13075771422855081,0.005880593580353943,0.0019524343064335429,0.002190996786382836,0.1353713594552506,0.006074924782074721
0.25,0.5,0.5,0.45294653371412996,0.04725098859817995,0.9804331331014859,0.9894101262179218,0.4606562710913945,0.04824727662170537,0.18638690245143846,0.01563253400244402,0.001967117829971661,0.000766377541668865,0.18597180046749165,0.015987105764589626
0.25,0.5,0.75,0.5176959250131383,0.038649489730912284,0.9804766044894088,0.9888129655668265,0.5281418109646073,0.039497243092552536,0.2019429510854689,0.013468520793202262,0.003500364386360416,0.0010427373961459834,0.19739537507376423,0.01402608119768144
0.25,0.5,1.0,0.5712428442332114,0.045380521841960765,0.9801620297186215,0.9894014048929533,0.5843697496929472,0.046137399726092106,0.10963627783152129,0.007550984832522179,0.003154503125082018,0.0003972683934086993,0.09802766280523009,0.007788916908677805
0.25,0.5,1.25,0.4184907087470112,0.03749595063631951,0.9758233217409632,0.9888715369419279,0.4247737794771062,0.03797264648724176,0.22571922546080508,0.005624699248383681,0.004229914637640099,0.0007106686530298227,0.22224518101994026,0.005666480520435593
0.25,0.5,1.5,0.2893522474071066,0.03128735357731992,0.9753319633259563,0.9882365432237787,0.29543944068986194,0.03167795584911966,0.22368841977334475,0.005053161287466557,0.004063942459604753,0.0009700059066776717,0.22034442852257213,0.005220630166585831
0.25,1.0,0.25,0.47276618824851513,0.03447774097559331,0.9809002529244388,0.9877743871599189,0.4925320686584376,0.03479517701360242,0.13750154153551022,0.006034704075216082,0.005962429769036535,0.0009826557763503538,0.13405727559809513,0.006213482498913114
0.25,1.0,0.5,0.42159617707025543,0.04933816200412772,0.9818144693856045,0.9898680878338528,0.44283162332163173,0.05003954007420767,0.14007908565066324,0.013539585215673028,0.0036259234364392637,0.0011200451674442764,0.1368721283842118,0.013923016588308051
0.25,1.0,0.75,0.3626345780072996,0.04338275069317124,0.9818144693856043,0.9899457433886865,0.38272528168227093,0.044156574401906706,0.1578280734869172,0.006786275550307071,0.004117812744142732,0.0008658671947471776,0.16534074702947985,0.007085735662058568
0.25,1.0,1.0,0.5740005296893171,0.03463619888483753,0.9829193012962378,0.9882642777186437,0.5763856516551601,0.03500958799987892,0.0598389119658634,0.0028095150629160338,0.002095541266945032,0.0008337815132729751,0.05951870642249964,0.002865965929085703
0.25,1.0,1.25,0.29253668276560113,0.026026754825084784,0.9801612393297502,0.9851565276685015,0.30341810377597206,0.026394823497148067,0.16475855416522991,0.004595955319048405,0.0030860827695136715,0.0032803165474232744,0.16165971537199036,0.004640064814676427
0.25,1.0,1.5,0.21814973117261105,0.02388198838079845,0.9806615554852988,0.9841339009913066,0.23485896277096469,0.024227039810171068,0.1565269200940264,0.004354941443844964,0.004355381790684473,0.001988346390245789,0.16604996857149099,0.004384814775481178
0.25,1.5,0.25,0.48188718612313197,0.042664045339231835,0.9815027927073455,0.9888299804397681,0.5058728886953492,0.04299796861120271,0.08105447862799996,0.003138439024967174,0.0024241058457221626,0.0008001511129042122,0.07988462239972499,0.003221354213119445
0.25,1.5,0.5,0.38856583145617485,0.04058090391330296,0.9790460006323112,0.9887961402443344,0.41171438124288723,0.04108532891284807,0.16786889138543915,0.004532693636258297,0.005885736728698947,0.0004622970558983502,0.17380653876735347,0.0045782946188086
0.25,1.5,0.75,0.3977172825545715,0.032661187369546915,0.9851016967014438,0.9879750990381053,0.4180761764980481,0.03302994636711819,0.11699022377062442,0.0022911587527637573,0.001338138344667563,0.0003157121305563512,0.11171458352465964,0.0023149467426066064
0.25,1.5,1.0,0.3760101419601885,0.02913995987605844,0.9835622826430604,0.9857282954313371,0.3951855775131484,0.029443077805702256,0.17275067641069938,0.0037433425809943505,0.0025293952437271962,0.0011823297272464657,0.1758265756594841,0.0037998226612168126
0.25,1.5,1.25,0.2585174589187501,0.025068983112775417,0.9849689113710612,0.9848066395868749,0.27769193042832585,0.025327247066931857,0.11785385561168774,0.001866478173656092,0.0020867952031672133,0.0002710098054647862,0.12466675366753986,0.0019328160889661315
0.25,1.5,1.5,0.24533159351478906,0.0244050101359378,0.9854539466750974,0.9835487481607308,0.2534240117599921,0.024662756898704986,0.17247119032560035,0.0026880870907180195,0.0013900926808454366,0.0019383045186790143,0.17037252510199852,0.002662691148281797
0.25,3.0,0.25,0.4518866832265472,0.05865241110589452,0.9832416482242596,0.9882680661506557,0.4614265099845194,0.05935496149209939,0.17409000235207697,0.009898804790190754,0.003312072630412806,0.000637995351933766,0.17349442924013614,0.010297349832606389
