negative_perc,np_ratio,positive_sample_perc,mean_test_AU_PRC,mean_train_AU_PRC,mean_test_AU_ROC,mean_train_AU_ROC,mean_test_AVG_PREC,mean_train_AVG_PREC,std_test_AU_PRC,std_train_AU_PRC,std_test_AU_ROC,std_train_AU_ROC,std_test_AVG_PREC,std_train_AVG_PREC
0.25,0.5,0.25,0.252580319221742,0.020568959099767276,0.9778351248814416,0.9844754674646218,0.2665017261622227,0.02062566705566394,0.15299853475705644,0.0037764169647405386,0.00825882142288411,0.0015769681842912413,0.159344076134168,0.0038402138424717394
0.25,0.5,0.5,0.39847821275689066,0.036457541221332754,0.9818853409210664,0.9891401027269519,0.4154452118817071,0.037064938559704066,0.1612362317520608,0.008845417533798958,0.004351825379725357,0.0004904576596502769,0.15455057833538857,0.009028446453762549
0.25,0.5,0.75,0.4834975026871676,0.039787374144924725,0.9779447254715986,0.9902547613011237,0.5031041267939826,0.04043107534507712,0.08420143583578406,0.005682467527933526,0.004063867955325825,0.0012102094852833372,0.0792857730515933,0.005589796096282545
0.25,0.5,1.0,0.595248258638212,0.039868701940551,0.981560227631995,0.9894527719193389,0.6008546851555305,0.0403258661053227,0.029459176769286638,0.005682808153541433,0.003315884741726761,0.0002687470443865797,0.033462822913923565,0.005823043853478349
0.25,0.5,1.25,0.4410586763339589,0.034958466039138165,0.9766152913900307,0.9883651191302238,0.45535962719793677,0.03536671866134297,0.196201059377113,0.005834781220970667,0.0038085125041089946,0.0008057062676403563,0.19887152350236173,0.005966700142857301
0.25,0.5,1.5,0.5608470930425644,0.0339443179278214,0.9808728527768995,0.987270783399293,0.571576780174064,0.03434780144762768,0.07204538494485427,0.007059692504558157,0.003569634453410089,0.002371533318686989,0.06036280768461561,0.0070439857333304155
0.25,1.0,0.25,0.4419086011695388,0.04052382380185743,0.9835891558646853,0.9881225054359175,0.4638325224437466,0.04077363483870286,0.08866017517077286,0.009172006848089713,0.003141760734346074,0.0007678057950670592,0.08231045284043907,0.00928722487982355
0.25,1.0,0.5,0.6130238011787759,0.040264883330928834,0.9812248392875962,0.9894483781857417,0.6154466312275605,0.04083067051518978,0.05646183634089224,0.009093117548320517,0.0025609082712833757,0.0009468956246077934,0.057228604015732,0.009185812116630944
0.25,1.0,0.75,0.35482290150042783,0.04156749458491356,0.979637474971019,0.989445681529957,0.36570660727253645,0.042201397838143154,0.17997966338956728,0.0045657957413828614,0.003852138340833837,0.0007411875539036596,0.17414897310228392,0.004596144642370281
0.25,1.0,1.0,0.5029252949269791,0.03425295310752337,0.9814590578564655,0.9885026963923613,0.5074625682288596,0.03459747285836631,0.14711832947594805,0.003573783396573945,0.0018257369691111627,0.00022976283742805428,0.14191712514157917,0.00368613387874433
